2019-12-20 18:15:08,b'Time to show #HSBC that helping #CCP oppress #hongkong has consequences. https://t.co/MhCPpjHaUc'
2019-12-20 18:08:04,b'@Billbrowder Please stop supporting #HKpolice #HKpolicebrutality #HKPoliceTerrorism #SOSHK Alse shame on #HSBC https://t.co/0nCTAV9ixZ'
2019-12-20 18:07:12,b'@SenToddYoung @antonioguterres @UN Recently #HSBC bans an account that provides support and legal help to\xe2\x80\xa6 https://t.co/cTjw8tjWhA'
2019-12-20 18:06:06,b'@SenRickScott @HSBC Shame on #HSBC \nHong Kong is not Financially Free and international Financial city https://t.co/rB64HzYluG'
2019-12-20 18:04:16,"b'@guardian Let\xe2\x80\x99s not forget, it begins with #HSBC closed the savings account of the #SparkAlliance.\xe2\x80\xa6 https://t.co/1OXiD1omDZ'"
2019-12-20 18:00:29,b'@JeromeTaylor @AFP It\xe2\x80\x99s definitely political persecution by #HSBC'
2019-12-20 17:59:45,b'@Billbrowder Absolutely! Thanks for supporting #Hongkongers and please punish #HSBC for political persecution https://t.co/PfobEDQw8z'
2019-12-20 17:58:40,b'@benedictrogers @HongKongFP #HSBC worked for #CCP now'
2019-12-20 17:56:25,b'@SenRickScott @HSBC Is #HSBC trustworthy\xef\xbc\x9for is #HongKong gov trustful as an international financial hub\xef\xbc\x9f'
2019-12-20 17:49:08,b'Huge deposit accounts in Hong Kong can be cancelled at any time without explanation. Hong Kong police #HKPF can als\xe2\x80\xa6 https://t.co/tZho1ai6l9'
2019-12-20 17:27:09,b'@RaptorBuzz @EnzoMazak gd news is that all of u guys can open #HSBC a/c without lowest deposit \xf0\x9f\x99\x8a https://t.co/enqby7yYHw'
2019-12-20 17:27:05,"b'@SenRickScott @HSBC If there is a hard, high wall and an egg that breaks against it, #HSBC chosen to stand on the s\xe2\x80\xa6 https://t.co/M7tRBc5KDm'"
2019-12-20 17:23:35,b'@SenRickScott @SolomonYue @HSBC #CathayPacific is the 1st British company to kowtow to #CCP. #HSBC is the 2nd Briti\xe2\x80\xa6 https://t.co/pTNwyy0TmZ'
2019-12-20 17:14:21,b'@BBCBusiness @seanfarrington Poor show from #HSBC Mobile banking app out for over 24hours. Call centre cannot recti\xe2\x80\xa6 https://t.co/2tA7jQD6Bf'
